#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = writecat:docker:DR9.6.7
#stages3 = srcs:docker:DR9.6.2 writecat:docker:DR9.6.5
0933p657 file0_rs0_skip0 stages0
0937p600 file0_rs0_skip0 stages0
0940p647 file0_rs0_skip0 stages0
0940p662 file0_rs0_skip0 stages0
0941p592 file0_rs0_skip0 stages0
0941p615 file0_rs0_skip0 stages0
0942p600 file0_rs0_skip0 stages0
0942p692 file0_rs0_skip0 stages0
0943p587 file0_rs0_skip0 stages0
0944p595 file0_rs0_skip0 stages0
0945p602 file0_rs0_skip0 stages1
0945p625 file0_rs0_skip0 stages0
0945p642 file0_rs0_skip0 stages0
0945p657 file0_rs0_skip0 stages0
0945p675 file0_rs0_skip0 stages0
0945p677 file0_rs0_skip0 stages0
0945p690 file0_rs0_skip0 stages0
0946p592 file0_rs0_skip0 stages0
0946p615 file0_rs0_skip0 stages0
0946p627 file0_rs0_skip0 stages0
0946p632 file0_rs0_skip0 stages0
0946p647 file0_rs0_skip0 stages0
0946p662 file0_rs0_skip0 stages0
0946p682 file0_rs0_skip0 stages0
0946p695 file0_rs0_skip0 stages0
0947p582 file0_rs0_skip0 stages0
0947p600 file0_rs0_skip0 stages0
0947p617 file0_rs0_skip0 stages0
0947p637 file0_rs0_skip0 stages0
0947p655 file0_rs0_skip0 stages0
0947p687 file0_rs0_skip0 stages0
0948p587 file0_rs0_skip0 stages0
0948p590 file0_rs0_skip0 stages0
