#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = writecat:docker:DR9.6.7
#stages3 = srcs:docker:DR9.6.2 writecat:docker:DR9.6.5
1165p352 file0_rs0_skip0 stages1
1165p357 file0_rs0_skip0 stages1
1165p365 file0_rs0_skip0 stages0
1165p380 file0_rs0_skip0 stages2
1165p387 file0_rs0_skip0 stages0
1165p397 file0_rs0_skip0 stages0
1165p405 file0_rs0_skip0 stages0
1165p510 file0_rs0_skip0 stages0
1166p382 file0_rs0_skip0 stages2
1166p390 file0_rs0_skip0 stages0
1166p407 file0_rs0_skip0 stages0
1166p415 file0_rs0_skip0 stages0
1166p427 file0_rs0_skip0 stages0
1166p435 file0_rs0_skip0 stages0
1166p447 file0_rs0_skip0 stages0
1166p457 file0_rs0_skip0 stages0
1166p470 file0_rs0_skip0 stages0
1166p485 file0_rs0_skip0 stages0
1166p487 file0_rs0_skip0 stages0
1166p502 file0_rs0_skip0 stages0
1166p625 file0_rs0_skip0 stages0
1167p330 file0_rs0_skip0 stages1
1167p335 file0_rs0_skip0 stages1
1167p375 file0_rs0_skip0 stages2
1167p490 file0_rs0_skip0 stages0
1167p500 file0_rs0_skip0 stages0
1167p620 file0_rs0_skip0 stages0
1167p632 file0_rs0_skip0 stages0
1167p635 file0_rs0_skip0 stages0
1168p325 file0_rs0_skip0 stages1
1168p332 file0_rs0_skip0 stages1
1168p337 file0_rs0_skip0 stages1
