#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = writecat:docker:DR9.6.7
#stages3 = srcs:docker:DR9.6.2 writecat:docker:DR9.6.5
1288p427 file0_rs0_skip0 stages0
1288p432 file0_rs0_skip0 stages0
1288p642 file0_rs0_skip0 stages0
1288p655 file0_rs0_skip0 stages0
1288p672 file0_rs0_skip0 stages0
1288p682 file0_rs0_skip0 stages0
1289p720 file0_rs0_skip0 stages0
1289p752 file0_rs0_skip0 stages0
1289p770 file0_rs0_skip0 stages0
1290p382 file0_rs0_skip0 stages0
1290p417 file0_rs0_skip0 stages1
1290p425 file0_rs0_skip0 stages0
1290p430 file0_rs0_skip0 stages0
1290p462 file0_rs0_skip0 stages0
1290p470 file0_rs0_skip0 stages0
1291p472 file0_rs0_skip0 stages0
1291p662 file0_rs0_skip0 stages0
1291p690 file0_rs0_skip0 stages0
1291p740 file0_rs0_skip0 stages0
1292p340 file0_rs0_skip0 stages0
1292p360 file0_rs0_skip0 stages0
1292p365 file0_rs0_skip0 stages0
1292p370 file0_rs0_skip0 stages0
1292p375 file0_rs0_skip0 stages0
1292p380 file0_rs0_skip0 stages0
1292p420 file0_rs0_skip0 stages1
1292p427 file0_rs0_skip0 stages0
1292p452 file0_rs0_skip0 stages0
1292p460 file0_rs0_skip0 stages0
1292p467 file0_rs0_skip0 stages0
1292p475 file0_rs0_skip0 stages0
1293p695 file0_rs0_skip0 stages0
