#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = writecat:docker:DR9.6.7
#stages3 = srcs:docker:DR9.6.2 writecat:docker:DR9.6.5
1393p592 file0_rs0_skip0 stages0
1393p617 file0_rs0_skip0 stages0
1393p625 file0_rs0_skip0 stages0
1393p675 file0_rs0_skip0 stages0
1393p680 file0_rs0_skip0 stages0
1393p725 file0_rs0_skip0 stages0
1394p432 file0_rs0_skip0 stages0
1394p437 file0_rs0_skip0 stages0
1394p442 file0_rs0_skip0 stages0
1394p447 file0_rs0_skip0 stages0
1394p457 file0_rs0_skip0 stages0
1394p562 file0_rs0_skip0 stages0
1394p567 file0_rs0_skip0 stages0
1394p587 file0_rs0_skip0 stages0
1394p632 file0_rs0_skip0 stages1
1394p667 file0_rs0_skip0 stages0
1394p712 file0_rs0_skip0 stages0
1394p720 file0_rs0_skip0 stages0
1395p452 file0_rs0_skip0 stages0
1395p462 file0_rs0_skip0 stages0
1395p552 file0_rs0_skip0 stages0
1395p557 file0_rs0_skip0 stages0
1395p570 file0_rs0_skip0 stages0
1395p575 file0_rs0_skip0 stages0
1395p595 file0_rs0_skip0 stages0
1395p615 file0_rs0_skip0 stages0
1395p620 file0_rs0_skip0 stages0
1395p635 file0_rs0_skip0 stages1
1395p640 file0_rs0_skip0 stages0
1395p682 file0_rs0_skip0 stages0
1395p690 file0_rs0_skip0 stages0
1395p767 file0_rs0_skip0 stages0
1395p775 file0_rs0_skip0 stages0
1395p782 file0_rs0_skip0 stages0
1396p435 file0_rs0_skip0 stages0
