#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = writecat:docker:DR9.6.7
#stages3 = srcs:docker:DR9.6.2 writecat:docker:DR9.6.5
1025p630 file0_rs0_skip0 stages0
1026p457 file0_rs0_skip0 stages0
1026p465 file0_rs0_skip0 stages0
1026p472 file0_rs0_skip0 stages0
1026p480 file0_rs0_skip0 stages0
1026p487 file0_rs0_skip0 stages0
1026p495 file0_rs0_skip0 stages0
1026p502 file0_rs0_skip0 stages0
1026p507 file0_rs0_skip0 stages0
1026p510 file0_rs0_skip0 stages0
1026p515 file0_rs0_skip0 stages0
1026p545 file0_rs0_skip0 stages0
1026p585 file0_rs0_skip0 stages0
1027p460 file0_rs0_skip0 stages0
1027p462 file0_rs0_skip0 stages0
1027p470 file0_rs0_skip0 stages0
1027p477 file0_rs0_skip0 stages0
1027p490 file0_rs0_skip0 stages0
1027p492 file0_rs0_skip0 stages0
1027p497 file0_rs0_skip0 stages0
1027p500 file0_rs0_skip0 stages0
1027p505 file0_rs0_skip0 stages0
1027p540 file0_rs0_skip0 stages0
1027p562 file0_rs0_skip0 stages0
1027p582 file0_rs0_skip0 stages0
1027p627 file0_rs0_skip0 stages0
1028p517 file0_rs0_skip0 stages0
1028p552 file0_rs0_skip0 stages1
1028p557 file0_rs0_skip0 stages1
1028p572 file0_rs0_skip0 stages0
1028p577 file0_rs0_skip0 stages0
1028p597 file0_rs0_skip0 stages0
