#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = writecat:docker:DR9.6.7
#stages3 = srcs:docker:DR9.6.2 writecat:docker:DR9.6.5
1004p542 file0_rs0_skip0 stages1
1004p550 file0_rs0_skip0 stages1
1004p560 file0_rs0_skip0 stages1
1004p567 file0_rs0_skip0 stages1
1004p607 file0_rs0_skip0 stages0
1004p615 file0_rs0_skip0 stages0
1004p617 file0_rs0_skip0 stages0
1005p540 file0_rs0_skip0 stages0
1005p545 file0_rs0_skip0 stages1
1005p562 file0_rs0_skip0 stages1
1005p625 file0_rs0_skip0 stages0
1006p507 file0_rs0_skip0 stages1
1006p510 file0_rs0_skip0 stages1
1006p535 file0_rs0_skip0 stages1
1006p557 file0_rs0_skip0 stages1
1006p612 file0_rs0_skip0 stages0
1006p622 file0_rs0_skip0 stages0
1007p497 file0_rs0_skip0 stages0
1007p502 file0_rs0_skip0 stages0
1007p505 file0_rs0_skip0 stages0
1007p537 file0_rs0_skip0 stages0
1007p547 file0_rs0_skip0 stages1
1007p552 file0_rs0_skip0 stages1
1007p555 file0_rs0_skip0 stages1
1007p610 file0_rs0_skip0 stages0
1008p500 file0_rs0_skip0 stages0
1008p542 file0_rs0_skip0 stages0
1008p550 file0_rs0_skip0 stages1
1008p565 file0_rs0_skip0 stages1
1008p567 file0_rs0_skip0 stages0
1008p605 file0_rs0_skip0 stages0
1008p620 file0_rs0_skip0 stages0
1009p512 file0_rs0_skip0 stages1
1009p545 file0_rs0_skip0 stages0
1009p560 file0_rs0_skip0 stages1
