#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = writecat:docker:DR9.6.7
#stages3 = srcs:docker:DR9.6.2 writecat:docker:DR9.6.5
1693p445 file0_rs0_skip0 stages0
1694p327 file0_rs0_skip0 stages1
1694p330 file0_rs0_skip0 stages1
1694p332 file0_rs0_skip0 stages1
1694p350 file0_rs0_skip0 stages0
1694p352 file0_rs0_skip0 stages0
1694p355 file0_rs0_skip0 stages0
1694p357 file0_rs0_skip0 stages0
1694p375 file0_rs0_skip0 stages1
1694p377 file0_rs0_skip0 stages0
1694p380 file0_rs0_skip0 stages0
1694p395 file0_rs0_skip0 stages0
1694p417 file0_rs0_skip0 stages0
1694p420 file0_rs0_skip0 stages0
1694p422 file0_rs0_skip0 stages0
1694p437 file0_rs0_skip0 stages0
1694p440 file0_rs0_skip0 stages0
1694p457 file0_rs0_skip0 stages0
1695p342 file0_rs0_skip0 stages0
1695p345 file0_rs0_skip0 stages0
1695p347 file0_rs0_skip0 stages0
1695p367 file0_rs0_skip0 stages0
1695p370 file0_rs0_skip0 stages1
1695p372 file0_rs0_skip0 stages1
1695p390 file0_rs0_skip0 stages0
1695p392 file0_rs0_skip0 stages0
1695p410 file0_rs0_skip0 stages0
1695p412 file0_rs0_skip0 stages0
1695p415 file0_rs0_skip0 stages0
1695p432 file0_rs0_skip0 stages0
1695p435 file0_rs0_skip0 stages0
1695p452 file0_rs0_skip0 stages0
1695p455 file0_rs0_skip0 stages0
1696p335 file0_rs0_skip0 stages0
1696p337 file0_rs0_skip0 stages0
