#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = writecat:docker:DR9.6.7
#stages3 = srcs:docker:DR9.6.2 writecat:docker:DR9.6.5
1889p377 file0_rs0_skip0 stages0
1889p397 file0_rs0_skip0 stages0
1890p405 file0_rs0_skip0 stages0
1890p455 file0_rs0_skip0 stages1
1891p392 file0_rs0_skip0 stages0
1891p457 file0_rs0_skip0 stages1
1892p372 file0_rs0_skip0 stages0
1892p395 file0_rs0_skip0 stages0
1892p397 file0_rs0_skip0 stages0
1894p410 file0_rs0_skip0 stages0
1895p370 file0_rs0_skip0 stages0
1895p440 file0_rs0_skip0 stages0
1896p400 file0_rs0_skip0 stages0
1896p405 file0_rs0_skip0 stages0
1896p445 file0_rs0_skip0 stages0
1896p447 file0_rs0_skip0 stages0
1897p360 file0_rs0_skip0 stages0
1897p407 file0_rs0_skip0 stages0
1897p452 file0_rs0_skip0 stages0
1900p360 file0_rs0_skip0 stages0
1902p440 file0_rs0_skip0 stages0
1905p457 file0_rs0_skip0 stages1
1905p460 file0_rs0_skip0 stages1
1909p357 file0_rs0_skip0 stages0
1909p440 file0_rs0_skip0 stages0
1911p452 file0_rs0_skip0 stages0
1912p357 file0_rs0_skip0 stages0
1912p455 file0_rs0_skip0 stages0
1913p407 file0_rs0_skip0 stages0
1915p455 file0_rs0_skip0 stages1
1916p325 file0_rs0_skip0 stages0
1922p362 file0_rs0_skip0 stages0
