#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = writecat:docker:DR9.6.7
#stages3 = srcs:docker:DR9.6.2 writecat:docker:DR9.6.5
1219p640 file0_rs0_skip0 stages0
1219p742 file0_rs0_skip0 stages0
1220p340 file0_rs0_skip0 stages1
1220p345 file0_rs0_skip0 stages1
1220p352 file0_rs0_skip0 stages1
1220p357 file0_rs0_skip0 stages0
1220p362 file0_rs0_skip0 stages0
1220p370 file0_rs0_skip0 stages0
1220p375 file0_rs0_skip0 stages0
1220p382 file0_rs0_skip0 stages0
1220p390 file0_rs0_skip0 stages0
1220p402 file0_rs0_skip0 stages0
1220p410 file0_rs0_skip0 stages0
1220p417 file0_rs0_skip0 stages0
1220p642 file0_rs0_skip0 stages0
1221p347 file0_rs0_skip0 stages1
1221p365 file0_rs0_skip0 stages0
1221p377 file0_rs0_skip0 stages0
1221p385 file0_rs0_skip0 stages0
1221p397 file0_rs0_skip0 stages0
1221p405 file0_rs0_skip0 stages0
1221p412 file0_rs0_skip0 stages0
1221p420 file0_rs0_skip0 stages0
1221p435 file0_rs0_skip0 stages0
1221p445 file0_rs0_skip0 stages0
1221p452 file0_rs0_skip0 stages0
1221p567 file0_rs0_skip0 stages0
1221p582 file0_rs0_skip0 stages0
1221p585 file0_rs0_skip0 stages0
1222p372 file0_rs0_skip0 stages0
1222p400 file0_rs0_skip0 stages0
1222p407 file0_rs0_skip0 stages0
