#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = writecat:docker:DR9.6.7
#stages3 = srcs:docker:DR9.6.2 writecat:docker:DR9.6.5
1288p700 file0_rs0_skip0 stages0
1288p717 file0_rs0_skip0 stages0
1288p767 file0_rs0_skip0 stages0
1289p330 file0_rs0_skip0 stages1
1289p340 file0_rs0_skip0 stages1
1289p360 file0_rs0_skip0 stages0
1289p365 file0_rs0_skip0 stages0
1289p370 file0_rs0_skip0 stages0
1289p375 file0_rs0_skip0 stages0
1289p380 file0_rs0_skip0 stages0
1289p415 file0_rs0_skip0 stages1
1289p435 file0_rs0_skip0 stages0
1289p455 file0_rs0_skip0 stages0
1289p460 file0_rs0_skip0 stages0
1289p467 file0_rs0_skip0 stages0
1289p645 file0_rs0_skip0 stages0
1289p657 file0_rs0_skip0 stages0
1289p675 file0_rs0_skip0 stages0
1289p685 file0_rs0_skip0 stages0
1289p702 file0_rs0_skip0 stages0
1289p720 file0_rs0_skip0 stages0
1289p752 file0_rs0_skip0 stages0
1289p770 file0_rs0_skip0 stages0
1290p325 file0_rs0_skip0 stages0
1290p335 file0_rs0_skip0 stages0
1290p355 file0_rs0_skip0 stages0
1290p367 file0_rs0_skip0 stages0
1290p377 file0_rs0_skip0 stages0
1290p382 file0_rs0_skip0 stages0
1290p417 file0_rs0_skip0 stages1
1290p422 file0_rs0_skip0 stages0
1290p425 file0_rs0_skip0 stages0
1290p430 file0_rs0_skip0 stages0
1290p462 file0_rs0_skip0 stages0
1290p470 file0_rs0_skip0 stages0
