#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = writecat:docker:DR9.6.7
#stages3 = srcs:docker:DR9.6.2 writecat:docker:DR9.6.5
2817p595 file0_rs0_skip0 stages0
2817p677 file0_rs0_skip0 stages0
2818p515 file0_rs0_skip0 stages0
2818p540 file0_rs0_skip0 stages0
2819p535 file0_rs0_skip0 stages0
2819p537 file0_rs0_skip0 stages0
2819p592 file0_rs0_skip0 stages0
2820p517 file0_rs0_skip0 stages0
2820p532 file0_rs0_skip0 stages0
2820p590 file0_rs0_skip0 stages0
2820p682 file0_rs0_skip0 stages0
2821p520 file0_rs0_skip0 stages0
2821p522 file0_rs0_skip0 stages0
2821p527 file0_rs0_skip0 stages0
2821p542 file0_rs0_skip0 stages0
2821p585 file0_rs0_skip0 stages0
2821p600 file0_rs0_skip0 stages0
2821p690 file0_rs0_skip0 stages0
2821p697 file0_rs0_skip0 stages0
2822p515 file0_rs0_skip0 stages0
2822p540 file0_rs0_skip0 stages0
2822p580 file0_rs0_skip0 stages0
2822p582 file0_rs0_skip0 stages0
2822p595 file0_rs0_skip0 stages0
2822p680 file0_rs0_skip0 stages0
2823p535 file0_rs0_skip0 stages0
2823p577 file0_rs0_skip0 stages0
2823p597 file0_rs0_skip0 stages0
2823p675 file0_rs0_skip0 stages0
2825p542 file0_rs0_skip0 stages0
2825p672 file0_rs0_skip0 stages0
2825p685 file0_rs0_skip0 stages0
