#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = writecat:docker:DR9.6.7
#stages3 = srcs:docker:DR9.6.2 writecat:docker:DR9.6.5
2890p632 file0_rs0_skip0 stages0
2890p652 file0_rs0_skip0 stages0
2890p657 file0_rs0_skip0 stages0
2890p670 file0_rs0_skip0 stages0
2890p690 file0_rs0_skip0 stages0
2891p600 file0_rs0_skip0 stages1
2891p625 file0_rs0_skip0 stages0
2891p630 file0_rs0_skip0 stages0
2891p650 file0_rs0_skip0 stages0
2891p655 file0_rs0_skip0 stages0
2891p667 file0_rs0_skip0 stages0
2891p687 file0_rs0_skip0 stages0
2892p597 file0_rs0_skip0 stages1
2892p622 file0_rs0_skip0 stages0
2892p627 file0_rs0_skip0 stages0
2892p647 file0_rs0_skip0 stages0
2892p685 file0_rs0_skip0 stages0
2893p612 file0_rs0_skip0 stages0
2893p615 file0_rs0_skip0 stages0
2893p620 file0_rs0_skip0 stages0
2893p645 file0_rs0_skip0 stages0
2893p665 file0_rs0_skip0 stages0
2894p605 file0_rs0_skip0 stages0
2894p610 file0_rs0_skip0 stages0
2894p617 file0_rs0_skip0 stages0
2894p637 file0_rs0_skip0 stages0
2894p642 file0_rs0_skip0 stages0
2894p662 file0_rs0_skip0 stages0
2894p675 file0_rs0_skip0 stages0
2894p682 file0_rs0_skip0 stages0
2895p602 file0_rs0_skip0 stages1
2895p607 file0_rs0_skip0 stages0
2895p635 file0_rs0_skip0 stages0
2895p640 file0_rs0_skip0 stages0
