#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = writecat:docker:DR9.6.7
#stages3 = srcs:docker:DR9.6.2 writecat:docker:DR9.6.5
1026p515 file0_rs0_skip0 stages0
1026p545 file0_rs0_skip0 stages0
1026p560 file0_rs0_skip0 stages0
1026p565 file0_rs0_skip0 stages0
1026p567 file0_rs0_skip0 stages0
1026p580 file0_rs0_skip0 stages0
1026p585 file0_rs0_skip0 stages0
1026p600 file0_rs0_skip0 stages0
1026p612 file0_rs0_skip0 stages0
1026p625 file0_rs0_skip0 stages0
1027p460 file0_rs0_skip0 stages0
1027p462 file0_rs0_skip0 stages0
1027p467 file0_rs0_skip0 stages0
1027p470 file0_rs0_skip0 stages0
1027p475 file0_rs0_skip0 stages0
1027p477 file0_rs0_skip0 stages0
1027p482 file0_rs0_skip0 stages0
1027p490 file0_rs0_skip0 stages0
1027p492 file0_rs0_skip0 stages0
1027p497 file0_rs0_skip0 stages0
1027p500 file0_rs0_skip0 stages0
1027p505 file0_rs0_skip0 stages0
1027p540 file0_rs0_skip0 stages0
1027p562 file0_rs0_skip0 stages0
1027p582 file0_rs0_skip0 stages0
1027p627 file0_rs0_skip0 stages0
1028p517 file0_rs0_skip0 stages0
1028p552 file0_rs0_skip0 stages1
1028p557 file0_rs0_skip0 stages1
1028p572 file0_rs0_skip0 stages0
1028p577 file0_rs0_skip0 stages0
1028p597 file0_rs0_skip0 stages0
1028p605 file0_rs0_skip0 stages0
1028p610 file0_rs0_skip0 stages0
1028p622 file0_rs0_skip0 stages0
