#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = writecat:docker:DR9.6.7
#stages3 = srcs:docker:DR9.6.2 writecat:docker:DR9.6.5
1871p410 file0_rs0_skip0 stages0
1871p412 file0_rs0_skip0 stages0
1871p415 file0_rs0_skip0 stages0
1871p442 file0_rs0_skip0 stages0
1871p445 file0_rs0_skip0 stages0
1871p447 file0_rs0_skip0 stages0
1872p357 file0_rs0_skip0 stages2
1872p360 file0_rs0_skip0 stages0
1872p362 file0_rs0_skip0 stages0
1872p365 file0_rs0_skip0 stages0
1872p390 file0_rs0_skip0 stages0
1872p392 file0_rs0_skip0 stages0
1872p395 file0_rs0_skip0 stages0
1872p397 file0_rs0_skip0 stages0
1872p450 file0_rs0_skip0 stages0
1872p452 file0_rs0_skip0 stages0
1872p455 file0_rs0_skip0 stages1
1883p380 file0_rs0_skip0 stages0
1884p355 file0_rs0_skip0 stages1
1884p412 file0_rs0_skip0 stages0
1884p415 file0_rs0_skip0 stages0
1884p440 file0_rs0_skip0 stages0
1885p390 file0_rs0_skip0 stages0
1885p392 file0_rs0_skip0 stages0
1885p395 file0_rs0_skip0 stages0
1885p397 file0_rs0_skip0 stages0
1885p442 file0_rs0_skip0 stages0
1885p445 file0_rs0_skip0 stages0
1885p447 file0_rs0_skip0 stages0
1886p372 file0_rs0_skip0 stages0
1886p375 file0_rs0_skip0 stages0
1886p377 file0_rs0_skip0 stages0
1886p380 file0_rs0_skip0 stages0
1886p400 file0_rs0_skip0 stages0
