#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = writecat:docker:DR9.6.7
#stages3 = srcs:docker:DR9.6.2 writecat:docker:DR9.6.5
1106p542 file0_rs0_skip0 stages0
1106p580 file0_rs0_skip0 stages0
1107p327 file0_rs0_skip0 stages1
1107p335 file0_rs0_skip0 stages1
1107p350 file0_rs0_skip0 stages0
1107p352 file0_rs0_skip0 stages0
1107p357 file0_rs0_skip0 stages0
1107p367 file0_rs0_skip0 stages0
1107p370 file0_rs0_skip0 stages0
1107p375 file0_rs0_skip0 stages0
1107p385 file0_rs0_skip0 stages0
1107p387 file0_rs0_skip0 stages0
1107p397 file0_rs0_skip0 stages0
1107p407 file0_rs0_skip0 stages1
1107p417 file0_rs0_skip0 stages1
1107p420 file0_rs0_skip0 stages1
1107p432 file0_rs0_skip0 stages0
1107p435 file0_rs0_skip0 stages0
1107p447 file0_rs0_skip0 stages0
1107p450 file0_rs0_skip0 stages0
1107p522 file0_rs0_skip0 stages0
1107p527 file0_rs0_skip0 stages0
1107p532 file0_rs0_skip0 stages0
1107p535 file0_rs0_skip0 stages0
1107p540 file0_rs0_skip0 stages0
1107p545 file0_rs0_skip0 stages0
1107p547 file0_rs0_skip0 stages0
1107p552 file0_rs0_skip0 stages0
1107p557 file0_rs0_skip0 stages0
1107p560 file0_rs0_skip0 stages1
1107p565 file0_rs0_skip0 stages1
1107p570 file0_rs0_skip0 stages0
1107p572 file0_rs0_skip0 stages0
1107p577 file0_rs0_skip0 stages0
1107p582 file0_rs0_skip0 stages0
