#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = writecat:docker:DR9.6.7
#stages3 = srcs:docker:DR9.6.2 writecat:docker:DR9.6.5
1447p577 file0_rs0_skip0 stages0
1447p587 file0_rs0_skip0 stages0
1447p597 file0_rs0_skip0 stages0
1447p615 file0_rs0_skip0 stages0
1447p620 file0_rs0_skip0 stages0
1447p625 file0_rs0_skip0 stages1
1447p647 file0_rs0_skip0 stages0
1447p772 file0_rs0_skip0 stages0
1448p335 file0_rs0_skip0 stages1
1448p342 file0_rs0_skip0 stages1
1448p350 file0_rs0_skip0 stages0
1448p357 file0_rs0_skip0 stages0
1448p362 file0_rs0_skip0 stages0
1448p370 file0_rs0_skip0 stages0
1448p377 file0_rs0_skip0 stages0
1448p390 file0_rs0_skip0 stages0
1448p397 file0_rs0_skip0 stages2
1448p402 file0_rs0_skip0 stages0
1448p440 file0_rs0_skip0 stages0
1448p445 file0_rs0_skip0 stages0
1448p527 file0_rs0_skip0 stages0
1448p532 file0_rs0_skip0 stages0
1448p537 file0_rs0_skip0 stages0
1448p542 file0_rs0_skip0 stages0
1448p547 file0_rs0_skip0 stages0
1448p557 file0_rs0_skip0 stages0
1448p562 file0_rs0_skip0 stages0
1448p567 file0_rs0_skip0 stages0
1448p582 file0_rs0_skip0 stages0
1448p605 file0_rs0_skip0 stages0
1448p610 file0_rs0_skip0 stages0
1448p665 file0_rs0_skip0 stages0
1449p332 file0_rs0_skip0 stages1
1449p340 file0_rs0_skip0 stages1
1449p347 file0_rs0_skip0 stages1
