#stages0 = writecat:docker:DR9.6.2
#stages1 = writecat:docker:DR9.6.7b
#stages2 = writecat:docker:DR9.6.7
#stages3 = srcs:docker:DR9.6.2 writecat:docker:DR9.6.5
1121p570 file0_rs0_skip0 stages0
1121p577 file0_rs0_skip0 stages0
1122p327 file0_rs0_skip0 stages1
1122p335 file0_rs0_skip0 stages1
1122p350 file0_rs0_skip0 stages1
1122p357 file0_rs0_skip0 stages1
1122p367 file0_rs0_skip0 stages1
1122p372 file0_rs0_skip0 stages1
1122p382 file0_rs0_skip0 stages0
1122p392 file0_rs0_skip0 stages0
1122p395 file0_rs0_skip0 stages0
1122p402 file0_rs0_skip0 stages0
1122p405 file0_rs0_skip0 stages0
1122p412 file0_rs0_skip0 stages0
1122p415 file0_rs0_skip0 stages0
1122p422 file0_rs0_skip0 stages0
1122p427 file0_rs0_skip0 stages0
1122p437 file0_rs0_skip0 stages0
1122p442 file0_rs0_skip0 stages0
1122p452 file0_rs0_skip0 stages0
1122p455 file0_rs0_skip0 stages0
1122p470 file0_rs0_skip0 stages0
1122p472 file0_rs0_skip0 stages0
1122p515 file0_rs0_skip0 stages0
1122p520 file0_rs0_skip0 stages0
1122p525 file0_rs0_skip0 stages0
1122p567 file0_rs0_skip0 stages0
1122p575 file0_rs0_skip0 stages0
1122p582 file0_rs0_skip0 stages0
1123p330 file0_rs0_skip0 stages1
1123p332 file0_rs0_skip0 stages1
1123p337 file0_rs0_skip0 stages1
1123p342 file0_rs0_skip0 stages1
1123p345 file0_rs0_skip0 stages1
1123p352 file0_rs0_skip0 stages1
